"categoryId","createdAt","imageUrl","isActive","name","sortOrder"
"cat-bd8acdb8-f4cc-4e20-9efb-651a8305e06e","2026-07-05T08:03:07.235Z","https://cracker-app.s3.ap-south-1.amazonaws.com/categories/cat-bd8acdb8-f4cc-4e20-9efb-651a8305e06e/image/6b8048b0-db13-41d7-959d-6806efd084c5-Copilot_20260725_142358.png","true","SKY ROCKETS","15"
"cat-bd6836fc-0a7a-4236-9425-ff0b5dd0dd91","2026-07-05T08:08:47.504Z","https://cracker-app.s3.ap-south-1.amazonaws.com/categories/cat-bd6836fc-0a7a-4236-9425-ff0b5dd0dd91/image/f4de34e4-5e7c-4279-b4fa-038d64e935fc-Copilot_20260725_141758.png","true","PEACOCK SERIES","25"
"cat-12bb3f07-0803-4300-9d5a-bb165bf68410","2026-07-05T08:03:44.597Z","https://cracker-app.s3.ap-south-1.amazonaws.com/categories/cat-12bb3f07-0803-4300-9d5a-bb165bf68410/image/b713f9ad-ba03-4eed-abe9-f237f473cfa9-Copilot_20260725_142631.png","true","SOUND GARLANDS","16"
"cat-b4f715eb-cbdb-44e8-a300-a688ad364cad","2026-07-05T07:47:49.940Z","https://cracker-app.s3.ap-south-1.amazonaws.com/categories/cat-d33c4696-e063-448a-aebc-fce5fbe26d3b/image/77857d29-e33e-43df-a3c2-72f74b162a6c-test-1.png","true","ELECTRIC TAPE FUSE CRACKERS","5"
"cat-239204a6-57c7-4bdb-aca4-b9b252fba147","2026-07-05T08:07:31.587Z","https://cracker-app.s3.ap-south-1.amazonaws.com/categories/cat-1ada9e8c-1a9f-4a2d-98d6-56436f465080/image/29a8a131-4aa8-4845-8437-c3d9ce14c9b1-test-1.png","true","KIDS FOUNTAINS","23"
"cat-1300aba7-85e1-4d05-8d04-d7c57c722ef7","2026-07-05T08:09:24.940Z","https://cracker-app.s3.ap-south-1.amazonaws.com/categories/cat-562a1f93-522a-4e9e-9953-efaa1f0f6694/image/42a6f33e-eac5-4fa2-8bc9-992e34822ac0-test-2.png","true","COLOR MATCHES","27"
"cat-1a49928d-0ab7-4fbc-8fe8-758b63153d19","2026-07-05T07:45:56.616Z","https://cracker-app.s3.ap-south-1.amazonaws.com/categories/cat-145a019d-018d-4ee9-8dbc-f9693e10fc2f/image/54bc251e-8199-4267-8557-2e8788126fcb-test-1.png","true","MULTI SOUND CRACKERS","2"
"cat-ebd03d37-90ef-4079-b8ce-58fa44965c9c","2026-07-05T07:51:05.670Z","https://cracker-app.s3.ap-south-1.amazonaws.com/categories/cat-030760d7-ef3d-433a-b42d-4eec167631e3/image/bb392750-dca5-4d12-b637-605c120d5db1-test-1.png","true","DELUXE WIRE FUSE CRACKERS","6"
"cat-b439f310-800e-4b05-a01b-80b67c4d90a6","2026-07-05T07:58:30.546Z","https://cracker-app.s3.ap-south-1.amazonaws.com/categories/cat-3c0d9d85-c9bc-4748-a58a-c17cec86906f/image/0ac72938-f1da-4e7e-af44-f66a5896e702-test-1.png","true","COLOR SMOKE","13"
"cat-357f91e1-2966-4208-a623-7111cd886a6f","2026-07-05T07:59:16.736Z","https://cracker-app.s3.ap-south-1.amazonaws.com/categories/cat-6b3e6f8e-ef6d-4995-b1ac-83cd77089cbf/image/7c651b5b-2b7a-4dc8-8ca4-b654d74ad794-test-1.png","true","GUNS AND CAPS","14"
